city_clean,state_clean,population,city_tier
rampur,uttar pradesh,281494.0,Tier 3
shimoga,karnataka,274352.0,Tier 3
chandrapur,maharashtra,289450.0,Tier 3
junagadh,gujarat,168686.0,Tier 3
thrissur,kerala,317526.0,Tier 3
alwar,rajasthan,260593.0,Tier 3
bardhaman,west bengal,285602.0,Tier 3
kulti,west bengal,289903.0,Tier 3
nizamabad,telangana,288722.0,Tier 3
parbhani,maharashtra,259329.0,Tier 3
tumkur,karnataka,248929.0,Tier 3
khammam,telangana,218689.0,Tier 3
uzhavarkarai,puducherry,217707.0,Tier 3
bihar sharif,bihar,232071.0,Tier 3
panipat,haryana,261740.0,Tier 3
darbhanga,bihar,267348.0,Tier 3
bally,west bengal,260906.0,Tier 3
aizawl,mizoram,228280.0,Tier 3
dewas,madhya pradesh,231672.0,Tier 3
ichalkaranji,maharashtra,257610.0,Tier 3
karnal,haryana,210476.0,Tier 3
bathinda,punjab,217256.0,Tier 3
jalna,maharashtra,235795.0,Tier 3
eluru,andhra pradesh,190347.0,Tier 3
barasat,west bengal,231515.0,Tier 3
kirari suleman nagar,delhi,153874.0,Tier 3
purnia,bihar,171687.0,Tier 3
satna,madhya pradesh,225464.0,Tier 3
mau,uttar pradesh,212657.0,Tier 3
sonipat,haryana,214974.0,Tier 3
farrukhabad,uttar pradesh,228333.0,Tier 3
durg,chhattisgarh,232517.0,Tier 3
imphal,manipur,221492.0,Tier 3
ratlam,madhya pradesh,222202.0,Tier 3
hapur,uttar pradesh,211983.0,Tier 3
arrah,bihar,203380.0,Tier 3
anantapur,andhra pradesh,218808.0,Tier 3
karimnagar,telangana,205653.0,Tier 3
etawah,uttar pradesh,210453.0,Tier 3
ambarnath,maharashtra,203795.0,Tier 3
north dumdum,west bengal,220042.0,Tier 3
bharatpur,rajasthan,204587.0,Tier 3
begusarai,bihar,93378.0,Tier 3
gandhidham,gujarat,166388.0,Tier 3
baranagar,west bengal,250768.0,Tier 3
tiruvottiyur,tamil nadu,212281.0,Tier 3
pondicherry,puducherry,220749.0,Tier 3
sikar,rajasthan,184904.0,Tier 3
thoothukudi,tamil nadu,216058.0,Tier 3
rewa,madhya pradesh,183274.0,Tier 3
